Count_Star,url,id,info_url,abbreviation,latitude,longitude,address,city,county,state,zipcode,date,station_name,station_name0,autothefts,bicyclethefts,grandthefts,assaults,robberies,weapons,narcotics,intoxications,sexcrimes,fareevasions,vandalisms,trespassings,kidnappings,homicides,name,avgweekdayridership
528,https://www.bartcrimes.com/api/v0/stations/3/,3,http://www.bart.gov/stations/19TH,19TH,37.80835,-122.268602,1900 Broadway,Oakland,alameda,CA,94612,"September 11, 1972",19th St. Oakland,19th St. Oakland,2,90,65,55,47,38,36,18,9,4,2,5,0,1,19th St. Oakland,14267
222,https://www.bartcrimes.com/api/v0/stations/26/,26,http://www.bart.gov/stations/MLBR,MLBR,37.600271,-122.386702,200 North Rollins Road,Millbrae,sanmateo,CA,94030,"June 22, 2003",Millbrae,Millbrae,68,13,16,23,4,11,3,7,5,0,9,2,0,0,Millbrae,6269
244,https://www.bartcrimes.com/api/v0/stations/4/,4,http://www.bart.gov/stations/24TH,24TH,37.75247,-122.418143,2800 Mission Street,San Francisco,sanfrancisco,CA,94110,"November 5, 1973",24th St. Mission,24th St. Mission,2,30,71,21,27,8,9,4,7,5,0,3,1,0,24th St. Mission,12041
302,https://www.bartcrimes.com/api/v0/stations/42/,42,http://www.bart.gov/stations/UCTY,UCTY,37.59063,-122.017388,10 Union Square,Union City,alameda,CA,94587,"September 11, 1972",Union City,Union City,79,33,36,35,34,18,3,9,6,2,2,5,0,0,Union City,4919
239,https://www.bartcrimes.com/api/v0/stations/17/,17,http://www.bart.gov/stations/PLZA,PLZA,37.902632,-122.298904,6699 Fairmount Avenue,El Cerrito,contracosta,CA,94530,"January 29, 1973",El Cerrito Plaza,El Cerrito Plaza,48,48,34,19,25,12,6,6,5,0,2,2,0,0,El Cerrito Plaza,4823
245,https://www.bartcrimes.com/api/v0/stations/6/,6,http://www.bart.gov/stations/BALB,BALB,37.721585,-122.447506,401 Geneva Avenue,San Francisco,sanfrancisco,CA,94112,"November 5, 1973",Balboa Park,Balboa Park,7,42,45,41,27,15,6,3,9,2,4,2,0,0,Balboa Park,9543
288,https://www.bartcrimes.com/api/v0/stations/31/,31,http://www.bart.gov/stations/ORIN,ORIN,37.87836087,-122.1837911,11 Camino Pablo,Orinda,contracosta,CA,94563,"May 21, 1973",Orinda,Orinda,105,23,72,12,12,18,5,13,6,0,2,2,0,0,Orinda,3122
492,https://www.bartcrimes.com/api/v0/stations/40/,40,http://www.bart.gov/stations/SHAY,SHAY,37.634375,-122.057189,28601 Dixon Street,Hayward,alameda,CA,94544,"September 11, 1972",South Hayward,South Hayward,200,21,75,36,48,39,11,6,10,1,4,2,1,0,South Hayward,2971
136,https://www.bartcrimes.com/api/v0/stations/37/,37,http://www.bart.gov/stations/SBRN,SBRN,37.637761,-122.416287,1151 Huntington Avenue,San Bruno,sanmateo,CA,94066,"June 22, 2003",San Bruno,San Bruno,2,52,12,16,8,9,2,5,4,0,0,1,0,0,San Bruno,3731
284,https://www.bartcrimes.com/api/v0/stations/2/,2,http://www.bart.gov/stations/16TH,16TH,37.765062,-122.419694,2000 Mission Street,San Francisco,sanfrancisco,CA,94110,"November 5, 1973",16th St. Mission,16th St. Mission,1,25,26,49,25,30,29,14,9,1,3,9,0,0,16th St. Mission,12505
148,https://www.bartcrimes.com/api/v0/stations/44/,44,http://www.bart.gov/stations/WDUB,WDUB,37.699756,-121.92824,6501 Golden Gate Drive,Dublin,alameda,CA,94568,"February 19, 2011",West Dublin/Pleasanton,West Dublin/Pleasanton,52,48,18,6,3,2,2,2,1,0,0,0,0,0,West Dublin/Pleasanton,3808
297,https://www.bartcrimes.com/api/v0/stations/36/,36,http://www.bart.gov/stations/ROCK,ROCK,37.844702,-122.251371,5660 College Avenue,Oakland,alameda,CA,94618,"May 21, 1973",Rockridge,Rockridge,108,46,31,21,21,15,4,6,6,0,4,0,0,0,Rockridge,5774
1,https://www.bartcrimes.com/api/v0/stations/30/,30,http://www.bart.gov/stations/OAKL,OAKL,37.713238,-122.212191,4 Airport Drive,Oakland,alameda,CA,94621,"November 22, 2014",Oakland International Airport,Oakland International Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oakland International Airport,1575
375,https://www.bartcrimes.com/api/v0/stations/29/,29,http://www.bart.gov/stations/NCON,NCON,38.003193,-122.024653,3700 Port Chicago Highway,Concord,contracosta,CA,94520,"December 16, 1995",North Concord/Martinez,North Concord/Martinez,209,18,33,20,8,9,7,8,6,1,5,3,0,0,North Concord/Martinez,2168
32,https://www.bartcrimes.com/api/v0/stations/46/,46,http://www.bart.gov/stations/WARM,WARM,37.502171,-121.939313,45193 Warm Springs Blvd,Fremont,alameda,CA,94539,"March 25, 2017",Warm Springs/South Fremont,Warm Springs/South Fremont,4,2,2,3,0,0,3,2,0,0,1,2,0,0,Warm Springs/South Fremont,3443
129,https://www.bartcrimes.com/api/v0/stations/11/,11,http://www.bart.gov/stations/COLM,COLM,37.684638,-122.466233,365 D Street,Colma,sanmateo,CA,94014,"February 24, 1996",Colma,Colma,37,7,15,16,8,4,1,1,3,1,1,1,0,0,Colma,4298
116,https://www.bartcrimes.com/api/v0/stations/41/,41,http://www.bart.gov/stations/SSAN,SSAN,37.664245,-122.44396,1333 Mission Road,South San Francisco,sanmateo,CA,94080,"June 22, 2003",South San Francisco,South San Francisco,45,15,7,16,4,5,1,3,5,0,3,2,0,0,South San Francisco,3435
5,,46,https://www.bart.gov/stations/pctr,PCTR,38.016981,-121.889115,"2099 Railroad Ave, Pittsburg, CA 94565",Pittsburg,contra costa,CA,94565,"May 26, 2018",Pittsburg Center,Pittsburg Center,3,0,0,1,1,3,0,0,0,0,0,0,0,0,Pittsburg Center,940
